reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Seeley1873QJGS	505	Cetarthrosaurus walkeri	Seeley1869	ncomb			Y	Cetarthrosaurus walkeri																	47
Fischer2014PO	17	Cetarthrosaurus walkeri	Seeley1869	ncomb			Y	Cetarthrosaurus walkeri																	48
Seeley1874QJGSa	707	Ophthalmosaurus icenicus	Seeley1874QJGSa	orig		v *	Y	Ophthalmosaurus icenicus	urn:lsid:zoobank.org:act:F598EAB9-08BF-44CF-BBF3-BB940BD24DBE	Oxford Clay Formation	Peterborough Member				Callovian	Middle Jurassic	Jurassic	Peterborough, Cambridgeshire	GB					urn:lsid:zoobank.org:pub:4C83C9B2-665D-4AD7-8AF8-D365E5491831	49
Tyborowski2016APP	793	Cryopterygius kielanae	Tyborowski2016APP	orig		*	Y	Undorosaurus kielanae		Kcynia Formation	Sławno Limestone Member				uppermost Lower Tithonian = Middle Volgian	Upper Jurassic	Jurassic	Owadów-Brzezinki Quarry, Sławno	PL	34U 439831 5692022	51.3762583	20.1355167			50
Wagner1853BKAWGA		Ichthyosaurus leptospondylus	Wagner1853BKAWGA	orig		*	Y	Aegirosaurus leptospondylus		Solnhofen Formation					Lower Tithonian	Upper Jurassic	Jurassic	Germany	DE						51
Zverkov2015PZIRa	562	Grendelius alekseevi	Zverkov2015PZIRa	ncomb			Y	Brachypterygius alekseevi																	52
Zverkov2015PZIRa	561	Grendelius pseudoscythicus	Efimov1998PZ	ncomb	[*sic.*]		N	Brachypterygius pseudoscythica																	53
Zverkov2019JSP	1189	Undorosaurus gorodischensis	Efimov1999PZa	orig			Y	Undorosaurus gorodischensis																	54
Zverkov2019JSP	1187	Undorosaurus kielanae	Tyborowski2016APP	ncomb		?	N	Undorosaurus kielanae																	55
Zverkov2019P	31	Arthropterygius hoybergeti	Druckenmiller2012NJG	ncomb			Y	Arthropterygius hoybergeti																	56
